OBJECTID,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
1,"Census Tract 9790, Fremont County, Colorado",8043979000,FREMONT,1009.02,0.06,3482,3.5
2,"Census Tract 9516, Garfield County, Colorado",8045951600,GARFIELD,573.42,3.47,3764,6.6
3,"Census Tract 28.03, Larimer County, Colorado",8069002803,LARIMER,218.45,1,99,0.5
4,"Census Tract 9632, Yuma County, Colorado",8125963200,YUMA,1034.06,0.53,5425,5.2
5,"Census Tract 24.01, Larimer County, Colorado",8069002401,LARIMER,398.87,1.42,1196,3
6,"Census Tract 24.02, Larimer County, Colorado",8069002402,LARIMER,940.92,3.79,2657,2.8
7,"Census Tract 9512, Rio Blanco County, Colorado",8103951200,RIO BLANCO,1230.12,0.01,2856,2.3
8,"Census Tract 9511, Rio Blanco County, Colorado",8103951100,RIO BLANCO,1990.81,1.87,3802,1.9
9,"Census Tract 2.01, Grand County, Colorado",8049000201,GRAND,495.28,15.35,4776,9.6
10,"Census Tract 2.02, Grand County, Colorado",8049000202,GRAND,252.58,0.09,6799,26.9
11,"Census Tract 1, Grand County, Colorado",8049000100,GRAND,1098.47,7.83,2915,2.7
12,"Census Tract 6, Moffat County, Colorado",8081000600,MOFFAT,4581.62,6.94,1462,0.3
13,"Census Tract 5, Moffat County, Colorado",8081000500,MOFFAT,3.77,0,4337,1150.4
14,"Census Tract 4, Moffat County, Colorado",8081000400,MOFFAT,2.81,0,4348,1547.3
15,"Census Tract 3, Moffat County, Colorado",8081000300,MOFFAT,155.09,0.68,2887,18.6
16,"Census Tract 9556, Jackson County, Colorado",8057955600,JACKSON,1613.72,7.24,1306,0.8
17,"Census Tract 9241, Washington County, Colorado",8121924100,WASHINGTON,1771.54,2.66,2086,1.2
18,"Census Tract 8, Routt County, Colorado",8107000800,ROUTT,578.9,2.49,1991,3.4
19,"Census Tract 7, Routt County, Colorado",8107000700,ROUTT,58.55,0.1,5052,86.3
20,"Census Tract 5, Routt County, Colorado",8107000500,ROUTT,42.59,0.02,4200,98.6
21,"Census Tract 2, Routt County, Colorado",8107000200,ROUTT,12.42,0.01,1871,150.6
22,"Census Tract 4, Routt County, Colorado",8107000400,ROUTT,38.87,0.01,3921,100.9
23,"Census Tract 6, Routt County, Colorado",8107000600,ROUTT,31.96,0.14,3034,94.9
24,"Census Tract 3, Routt County, Colorado",8107000300,ROUTT,507.22,0.41,2081,4.1
25,"Census Tract 1, Routt County, Colorado",8107000100,ROUTT,1091.53,2.94,1830,1.7
26,"Census Tract 9639, Gunnison County, Colorado",8051963900,GUNNISON,1645.69,16.08,858,0.5
27,"Census Tract 9637, Gunnison County, Colorado",8051963700,GUNNISON,5.6,0,6325,1129.5
28,"Census Tract 9636, Gunnison County, Colorado",8051963600,GUNNISON,1261.58,4.14,3770,3
