state,test_id,recall_vote,district
CO,2780274,Yes,03
CO,339669,Yes,03
MO,3222708,Yes,03
CO,3344825,Yes,03
CO,665991,DK,03
CO,390344,Yes,03
CO,623569,No,03
CO,4335012,Yes,03
CO,1609674,No,03
CO,4041345,Yes,03
CO,539628,Yes,03
CO,2833094,No,03
CO,4025202,No,03
CO,3421675,DK,03
CO,2617301,No,03
CO,4788347,No,03
CO,729323,No,03
CO,2907450,No,03
CO,3927530,No,03
CO,2246823,Yes,03
CO,390604,DK,03
CO,194261,Yes,03
CO,2126782,No,03
CO,483768,DK,03
CO,3290547,Yes,03
CO,1092064,Yes,03
CO,3160164,DK,03
CO,764136,Yes,03
CO,3146283,DK,03
CO,882991,No,03
CO,2589770,Yes,03
CO,1213150,Yes,03
CO,4965512,No,03
CO,1054390,Yes,03
CO,1396892,No,03
CO,3958039,Yes,03
CO,3472643,DK,03
CO,1508937,Yes,03
CO,756264,No,03
CO,849304,Yes,03
CO,1312584,No,03
CO,4376059,Yes,03
CO,491438,Yes,03
CO,2411577,Yes,03
CO,4505287,No,03
CO,735133,Yes,03
CO,4020120,Yes,03
CO,2655346,Yes,03
CO,748191,Yes,03
CO,4289301,No,03
CO,1701221,Yes,03
CO,2495947,No,03
CO,1673265,Yes,03
CO,3782872,No,03
CO,3941907,Yes,03
CO,32446,Yes,03
CO,4169582,No,03
CO,162758,No,03
CO,4898418,DK,03
CO,3967473,Yes,03
CO,762882,No,03
CO,771828,Yes,03
CO,3379783,DK,03
CO,1931993,Yes,03
CO,1264208,No,03
CO,3857115,No,03
CO,4085369,DK,03
CO,367452,Yes,03
CO,1426117,Yes,03
CO,1531092,Yes,03
CO,1655970,Yes,03
CO,4461352,Yes,03
CO,1924922,No,03
CO,1123555,DK,03
CO,2606208,Yes,03
CO,3743179,DK,03
CO,6988,No,03
CO,2517751,No,03
CO,4239894,Yes,03
CO,3050088,No,03
CO,3729155,DK,03
CO,767252,Yes,03
CO,4346148,Yes,03
CO,818542,DK,03
CO,2431034,Yes,03
CO,3624850,No,03
CO,3075956,DK,03
CO,4998799,Yes,03
CO,2472255,Yes,03
CO,4454180,Yes,03
CO,4852862,Yes,03
CO,1249881,No,03
CO,4584252,Yes,03
CO,3385267,DK,03
CO,4769393,No,03
CO,180904,Yes,03
CO,2389880,No,03
CO,553020,Yes,03
CO,2943262,Yes,03
CO,4758811,No,03
CO,679530,Yes,03
CO,1351389,No,03
CO,397741,Yes,03
CO,4735680,No,03
CO,1700040,No,03
CO,637770,No,03
CO,1589975,No,03
CO,2867707,No,03
CO,3150145,Yes,03
CO,1185103,No,03
CO,1546894,DK,03
CO,3884520,DK,03
CO,2419869,No,03
CO,3369151,Yes,03
CO,3095290,Yes,03
CO,3167969,No,03
CO,3434237,Yes,03
CO,3690025,No,03
CO,4668006,No,03
CO,3086135,No,03
CO,8186,No,03
CO,4034420,No,03
CO,4963045,DK,03
CO,3897492,Yes,03
CO,1745869,DK,03
CO,440920,No,03
CO,2745198,Yes,03
CO,3590686,Yes,03
CO,3751315,Yes,03
CO,4597833,Yes,03
CO,4480111,Yes,03
CO,3903679,Yes,03
CO,4426334,No,03
CO,2139601,Yes,03
CO,62098,No,03
CO,660207,No,03
CO,3190652,No,03
CO,4801382,Yes,03
CO,4943382,No,03
CO,1769155,DK,03
CO,4566057,No,03
CO,3701470,No,03
CO,1897092,No,03
CO,3138165,Yes,03
CO,4759199,No,03
CO,4754562,No,03
CO,2236679,No,03
CO,4884498,DK,03
CO,4504451,No,03
CO,1697723,No,03
CO,4323220,No,03
CO,1969462,Yes,03
CO,393193,No,03
CO,2331120,Yes,03
CO,3858036,DK,03
CO,1418978,Yes,03
CO,4515477,No,03
CO,2168805,DK,03
CO,712459,Yes,03
CO,3283280,No,03
CO,4214275,No,03
CO,136173,DK,03
CO,2255407,Yes,03
CO,237559,DK,03
CO,4339320,No,03
CO,4334117,Yes,03
CO,2435801,No,03
CO,2507230,No,03
CO,4595924,No,03
CO,2920466,DK,03
CO,2443315,No,03
CO,3243484,No,03
CO,2829597,Yes,03
CO,4507141,Yes,03
CO,1009589,Yes,03
CO,4786570,Yes,03
CO,2141475,No,03
CO,3939670,No,03
CO,558326,DK,03
CO,2911994,Yes,03
CO,4457456,Yes,03
CO,4300663,No,03
CO,3037548,No,03
CO,2665061,DK,03
CO,2991665,No,03
CO,3764592,DK,03
CO,584480,DK,03
CO,870719,Yes,03
CO,1996451,No,03
CO,2513825,DK,03
CO,3285162,No,03
CO,4575851,DK,03
CO,4626872,Yes,03
CO,4386827,DK,03
CO,3865985,Yes,03
CO,2755738,Yes,03
CO,2103615,Yes,03
CO,673879,Yes,03
CO,1214822,No,03
CO,2516929,Yes,03
CO,3292908,No,03
CO,4783522,Yes,03
CO,2806459,Yes,03
CO,2061603,DK,03
CO,1336813,Yes,03
CO,4271422,Yes,03
CO,3229904,Yes,03
CO,2903056,Yes,03
CO,2646914,No,03
CO,2619777,Yes,03
CO,4664238,Yes,03
CO,3351173,No,03
CO,3071304,Yes,03
CO,3440669,No,03
CO,1898355,No,03
CO,853137,No,03
CO,1098407,No,03
CO,3964574,Yes,03
CO,2281310,Yes,03
CO,3907840,No,03
CO,919007,No,03
CO,1694480,Yes,03
CO,2744861,No,03
CO,3652474,No,03
CO,1623854,No,03
CO,1746491,No,03
CO,4270057,DK,03
CO,3248393,Yes,03
CO,236211,Yes,03
CO,1390603,Yes,03
CO,3467338,No,03
CO,986523,Yes,03
CO,1266508,Yes,03
CO,1558230,No,03
CO,930970,No,03
CO,3961770,No,03
CO,4340905,Yes,03
CO,2058724,Yes,03
CO,2840901,Yes,03
CO,4194061,Yes,03
CO,115451,Yes,03
CO,1411290,Yes,03
CO,4768245,No,03
CO,3405377,No,03
CO,10411,No,03
CO,2487653,Yes,03
CO,1487524,No,03
CO,1284368,Yes,03
CO,2767950,DK,03
CO,1307664,No,03
CO,288564,Yes,03
CO,17954,Yes,03
CO,4128611,Yes,03
CO,593709,DK,03
CO,2942288,No,03
CO,1387468,DK,03
CO,976991,DK,03
CO,4827331,No,03
CO,366421,No,03
CO,2379671,Yes,03
CO,1233812,No,03
CO,2490114,Yes,03
CO,361011,No,03
CO,4376341,Yes,03
CO,2594310,Yes,03
CO,2434952,No,03
CO,2556166,No,03
CO,2975866,Yes,03
CO,880358,DK,03
CO,3665006,Yes,03
CO,2654439,Yes,03
CO,4903588,DK,03
CO,282075,DK,03
CO,3081918,Yes,03
CO,1734822,Yes,03
CO,4671171,No,03
CO,466171,Yes,03
CO,1689129,DK,03
CO,964439,No,03
CO,4933412,DK,03
CO,2984469,DK,03
CO,1576796,No,03
CO,1187569,Yes,03
CO,3735873,No,03
CO,849088,No,03
CO,303721,Yes,03
CO,3675490,DK,03
CO,3794947,No,03
CO,1554160,Yes,03
CO,4919876,No,03
CO,2895019,No,03
CO,4912500,Yes,03
CO,4615573,No,03
CO,1310966,Yes,03
CO,916079,No,03
CO,4026347,No,03
CO,1852259,No,03
CO,3916251,DK,03
CO,2655842,Yes,03
CO,201609,No,03
CO,1864155,No,03
CO,985390,DK,03
CO,320053,Yes,03
CO,3053572,No,03
CO,4204829,No,03
CO,834017,Yes,03
CO,2405985,Yes,03
CO,2195859,Yes,03
CO,2917980,Yes,03
CO,3607160,Yes,03
CO,1312905,No,03
CO,3871392,No,03
CO,1258366,Yes,03
CO,1065502,DK,03
CO,4373100,DK,03
CO,903946,No,03
CO,637641,No,03
CO,4816709,Yes,03
CO,4629857,No,03
CO,3593540,Yes,03
CO,2381341,No,03
CO,1280039,No,03
CO,3122683,Yes,03
CO,1781116,Yes,03
CO,2532739,No,03
CO,4749212,No,03
CO,4379566,No,03
CO,4399912,No,03
CO,88934,Yes,03
CO,4087131,Yes,03
CO,4236954,No,03
CO,4208112,DK,03
CO,4265109,Yes,03
CO,3981852,No,03
CO,3574596,No,03
CO,451780,No,03
CO,1875366,Yes,03
CO,750913,Yes,03
CO,2632081,Yes,03
CO,4594402,Yes,03
CO,41006,DK,03
CO,687828,No,03
CO,1995135,No,03
CO,2484649,DK,03
CO,4022308,Yes,03
CO,3108689,No,03
WA,1999299,No,03
CO,2188696,No,03
CO,2075428,Yes,03
CO,3227897,Yes,03
CO,323949,No,03
CO,1387198,No,03
CO,758220,No,03
CO,2747207,Yes,03
CO,303374,Yes,03
CO,1719567,No,03
