state,test_id,recall_vote,district,census_fips,ca_race,ca_gender,ca_partyaffiliation,ca_voterstatus,ca_age,co_find,di_statehousedistrict,di_uniqueprecinctcode,es_genrate,es_anyprimary,hh_totalpersons,hh_totalhh2s,hh_ageavg,hh_children,hh_white,hh_black,hh_asian,hh_hispanic,hh_otherrace,hh_dems,hh_reps,hh_type,hh_partisanbehave,sy_marriagescore,sy_educscore,sy_gunscore,ac_pctwhite,ac_pctblack,ac_pctindianalaskan,ac_pctasian,ac_pcthawaiianpacific,ac_pctotherrace,ac_pcthispaniclatino,ac_pctnonenglishspkrs,ac_pctalternativeworkschedule,ac_pctgraduatedegree,ac_pctarmedforces,ac_pctveterans,ac_pctpublicassistance,ac_pcthhsincome200kplus,ac_medianhhincome,sy_partisanscore2012,sy_voteprop2012,sy_ideologymodel,density_cluster,member_type_status,afl_mem
CO,2780274,Yes,03,08101002906,C,F,REP,A,36,113000,46,3035e6,0.7531,Y,3,1,54,0,3,0,0,0,0,0,3,MN,R,0.182,0.618,0.284,0.845841,0,0.012415,0.007563,0,0.044793,0.101803,0.127436,0.108501,0.130998,0,0.159252,0.031484,0.055472,74148,0.76,98.6,22,Rural,NA,0
CO,339669,Yes,03,08101001600,C,F,REP,A,72,49000,46,3035e6,0.6225,Y,3,1,70,0,3,0,0,0,0,0,2,MN,R,0.797,0.418,0.315,0.703422,0,0,0,0,0.013308,0.28327,0.146154,0.379679,0.078431,0,0.185033,0,0,32386,2.17,98.5,18.4,Suburban,NA,0
CO,3344825,Yes,03,08101002909,C,M,REP,A,70,130000,46,3035e6,0.5718,Y,3,1,55.67,0,3,0,0,0,0,0,2,MN,R,0.844,0.654,0.58,0.767789,0.015248,0.009121,0.006353,0,0.007624,0.194091,0.085232,0.055983,0.089773,0,0.162446,0.007595,0.04135,68594,1.41,97.6,22,Rural,NA,0
CO,665991,DK,03,08101001200,C,M,NPA,A,32,10000,62,3036e6,0.2055,N,5,5,38.75,0,5,0,0,0,0,1,0,GN,DO,0.343,0.242,0.393,0.273155,0,0.025615,0,0,0.018838,0.708006,0.45641,0,0,0,0.154326,0.066667,0,31188,91.53,56.7,61.5,Suburban,NA,0
CO,390344,Yes,03,08101002907,C,F,REP,A,49,167000,46,3035e6,0.4127,N,4,3,44,2,4,0,0,0,0,0,3,GR,RO,0.96,0.576,0.325,0.806054,0,0.007771,0.005632,0,0.016191,0.162971,0.051988,0.133034,0.107278,0,0.200446,0.005097,0.033639,76083,3.38,79.9,29.2,Rural,NA,0
CO,623569,No,03,08101000904,C,M,DEM,A,66,17000,47,3035e6,0.9875,Y,2,2,61,0,2,0,0,0,0,2,0,SS,D,0.149,0.493,0.358,0.649217,0.017809,0.004111,0,0,0.002698,0.320561,0.194915,0.092105,0.120073,0,0.170822,0.032203,0.028814,52679,99.35,97.3,78.6,Suburban,NA,0
CO,4335012,Yes,03,08089987800,C,M,NPA,I,32,5000,46,3035e6,0.1866,Y,5,4,37.67,1,5,0,0,0,0,1,1,GN,DR,0.362,0.275,0.389,0.604508,0.008197,0.001612,0.022541,0,0.009221,0.355533,0.183044,0.053165,0.089147,0,0.210262,0.030829,0,41089,47.98,19.6,45.2,Rural,NA,0
CO,1609674,No,03,08011986700,C,M,REP,A,89,5000,46,3035e6,0.9875,Y,4,2,69.75,0,4,0,0,0,0,1,2,GN,DR,0.549,0.266,0.594,0.629457,7.75e-4,0.014523,0.017054,0,0,0.322481,0.242248,0.155556,0.092613,0,0.130769,0.164729,0.017442,30978,4.77,92.2,29.3,Rural,NA,0
CO,539628,Yes,03,08007974200,C,M,REP,A,54,156000,46,3035e6,0.8364,Y,3,2,55.33,0,3,0,0,0,0,1,2,O,DR,0.943,0.705,0.546,0.774212,0,0,0,0,0,0.225788,0.125,0.142276,0.334891,0,0.26214,0.100694,0,61250,32.03,93.9,43.8,Rural,NA,0
CO,2833094,No,03,08101000904,C,F,REP,A,73,28000,47,3035e6,0.912,Y,5,3,69,0,4,0,0,1,0,4,1,GN,DR,0.346,0.466,0.211,0.649217,0.017809,0.004111,0,0,0.002698,0.320561,0.194915,0.092105,0.120073,0,0.170822,0.032203,0.028814,52679,24.92,98.1,36.6,Suburban,NA,0
CO,4025202,No,03,08101002700,H,F,DEM,A,53,43000,46,3035e6,0.6853,Y,3,2,68.33,0,2,0,0,1,0,2,0,GN,D,0.289,0.416,0.155,0.674419,0,0,0,0,0,0.325581,0.118852,0.049774,0.17355400000000001,0,0.204481,0.012295,0,50549,94.68,97.9,71.2,Suburban,NA,0
CO,2617301,No,03,08101000400,C,F,DEM,A,52,5000,47,3035e6,0.4586,N,1,1,52,0,1,0,0,0,0,1,0,S,D,0.12,0.369,0.159,0.558499,0,0,0,0,0.003311,0.430464,0.045726,0.35503,0.042296,0,0.143635,0.035785,0,31437,94.32,92.4,68.2,Suburban,NA,0
