state	test_id	recall_vote
CO	2780274	Yes
CO	339669	Yes
MO	3222708	Yes
CO	3344825	Yes
CO	665991	DK
CO	390344	Yes
CO	623569	No
CO	4335012	Yes
CO	1609674	No
CO	4041345	Yes
CO	539628	Yes
CO	2833094	No
CO	4025202	No
CO	3421675	DK
CO	2617301	No
CO	4788347	No
CO	729323	No
CO	2907450	No
CO	3927530	No
CO	2246823	Yes
CO	390604	DK
CO	194261	Yes
CO	2126782	No
CO	483768	DK
CO	3290547	Yes
CO	1092064	Yes
CO	3160164	DK
CO	764136	Yes
CO	3146283	DK
CO	882991	No
CO	2589770	Yes
CO	1213150	Yes
CO	4965512	No
CO	1054390	Yes
CO	1396892	No
CO	3958039	Yes
CO	3472643	DK
CO	1508937	Yes
CO	756264	No
CO	849304	Yes
CO	1312584	No
CO	4376059	Yes
CO	491438	Yes
CO	2411577	Yes
CO	4505287	No
CO	735133	Yes
CO	4020120	Yes
CO	2655346	Yes
CO	748191	Yes
CO	4289301	No
CO	1701221	Yes
CO	2495947	No
CO	1673265	Yes
CO	3782872	No
CO	3941907	Yes
CO	32446	Yes
CO	4169582	No
CO	162758	No
CO	4898418	DK
CO	3967473	Yes
CO	762882	No
CO	771828	Yes
CO	3379783	DK
CO	1931993	Yes
CO	1264208	No
CO	3857115	No
CO	4085369	DK
CO	367452	Yes
CO	1426117	Yes
CO	1531092	Yes
CO	1655970	Yes
CO	4461352	Yes
CO	1924922	No
CO	1123555	DK
CO	2606208	Yes
CO	3743179	DK
CO	6988	No
CO	2517751	No
CO	4239894	Yes
CO	3050088	No
CO	3729155	DK
CO	767252	Yes
CO	4346148	Yes
CO	818542	DK
CO	2431034	Yes
CO	3624850	No
CO	3075956	DK
CO	4998799	Yes
CO	2472255	Yes
CO	4454180	Yes
CO	4852862	Yes
CO	1249881	No
CO	4584252	Yes
CO	3385267	DK
CO	4769393	No
CO	180904	Yes
CO	2389880	No
CO	553020	Yes
CO	2943262	Yes
CO	4758811	No
CO	679530	Yes
CO	1351389	No
CO	397741	Yes
CO	4735680	No
CO	1700040	No
CO	637770	No
CO	1589975	No
CO	2867707	No
CO	3150145	Yes
CO	1185103	No
CO	1546894	DK
CO	3884520	DK
CO	2419869	No
CO	3369151	Yes
CO	3095290	Yes
CO	3167969	No
CO	3434237	Yes
CO	3690025	No
CO	4668006	No
CO	3086135	No
CO	8186	No
CO	4034420	No
CO	4963045	DK
CO	3897492	Yes
CO	1745869	DK
CO	440920	No
CO	2745198	Yes
CO	3590686	Yes
CO	3751315	Yes
CO	4597833	Yes
CO	4480111	Yes
CO	3903679	Yes
CO	4426334	No
CO	2139601	Yes
CO	62098	No
CO	660207	No
CO	3190652	No
CO	4801382	Yes
CO	4943382	No
CO	1769155	DK
CO	4566057	No
CO	3701470	No
CO	1897092	No
CO	3138165	Yes
CO	4759199	No
CO	4754562	No
CO	2236679	No
CO	4884498	DK
CO	4504451	No
CO	1697723	No
CO	4323220	No
CO	1969462	Yes
CO	393193	No
CO	2331120	Yes
CO	3858036	DK
CO	1418978	Yes
