state	test_id	member_type_status
CO	3770477	Retired
CO	4425669	Active
MI	3155684	HH
CO	238619	HH
CO	50996	Retired
CO	3917979	HH
CO	3403649	Retired
CO	4292217	Retired
CO	2566819	HH
CO	1761056	HH
CO	493887	HH
CO	3465647	HH
CO	1602821	Active
CO	4162481	HH
CO	3581682	Active
CO	2194228	HH
CO	3706927	HH
CO	3936853	Retired
CO	2214079	Active
CO	386571	Active
CO	231297	Active
CO	3205071	Retired
CA	2892404	Retired
CO	2759392	Active
CO	4301778	HH
CO	2463222	Retired
CO	2463222	Retired
CO	3664245	Active
CO	2308907	HH
CO	2122048	HH
CO	3496370	Retired
OH	1969455	Active
CO	3981481	Active
CO	3092655	Active
CO	3839411	HH
CO	1821386	HH
CO	221876	HH
CO	1027896	Active
CO	4179774	Active
CO	2654006	Retired
MI	1477551	Active
CO	2935155	Active
CO	3257509	Active
CO	177796	Retired
CO	683773	Active
CO	2926774	Active
KY	1057824	Active
CO	2023460	Active
CO	943072	HH
CO	2060300	Active
CO	3619308	HH
MT	2053733	Active
CO	4068770	Active
CO	3627375	HH
CO	3300279	HH
CO	2182307	Retired
CO	2333035	HH
CO	2851708	Active
CO	2935992	Active
CO	1503856	Active
CO	2650253	HH
CO	482024	Active
CO	125704	Active
CO	2021697	Active
CO	1502896	Retired
OH	4093879	HH
CO	4974942	Retired
CO	4565788	Active
CO	977331	HH
CO	444626	Active
CO	3375464	Active
CO	3334740	HH
CO	1975855	Retired
CO	1047327	HH
CO	932260	Retired
CO	1756698	Retired
CO	4727705	Retired
CO	1266311	Retired
CO	1455870	Active
CO	2614804	Active
CO	3714350	Active
CO	4965565	Retired
CO	2540639	Active
CO	4015226	Active
CO	4770965	Active
CO	4586920	Retired
CO	854844	Active
CO	51147	HH
CO	1573788	Active
CO	1753196	Retired
CO	4458077	Active
CO	3739689	Retired
CO	2519576	Active
CO	3817346	Active
CO	966521	Active
CO	3906687	Active
CO	4005080	Active
CO	489594	Active
CO	3651561	HH
CO	3380808	Retired
CO	4196532	Retired
CO	4831093	Retired
CO	450874	Active
CO	4508820	HH
CO	349644	Active
CO	3671750	HH
CO	57749	HH
OH	3808244	Retired
CO	3974128	HH
CO	1732098	Active
CO	1003204	HH
OR	4101048	Active
CO	3462828	HH
CO	3371201	HH
CO	950160	Active
CO	2487222	Active
CO	2116641	Retired
CO	3132670	HH
CO	408674	Retired
CO	4500087	Active
CO	1306809	Retired
CO	255974	Retired
CO	4670507	HH
CO	1491281	Active
CO	4933610	HH
CO	282269	HH
CO	3116086	Active
CO	4359886	HH
CO	2855378	HH
CO	398347	Retired
OH	3701718	Active
OH	3958252	Active
CO	2766594	Active
CO	4826081	HH
CO	560006	HH
CO	3447879	Retired
CO	885093	Retired
CO	4156177	Active
CO	1014549	HH
CO	4777582	HH
CO	4616061	Active
CO	1441746	HH
CO	2705038	Retired
CO	1729449	HH
CO	889303	HH
CO	2763516	HH
CO	3988909	HH
CO	1880544	HH
